original_character_resp.keys,original_character_resp.rt,trials_character_original.thisRepN,trials_character_original.thisTrialN,trials_character_original.thisN,trials_character_original.thisIndex,trials_character_original.ran,original_character_options,correct_character_options,id,date,expName,psychopyVersion,OS,frameRate,edited_character_resp.keys,edited_character_resp.corr,trials_character_edited.thisRepN,trials_character_edited.thisTrialN,trials_character_edited.thisN,trials_character_edited.thisIndex,trials_character_edited.ran,edited_character_options,seed_response.keys,seed_response.corr,seed_response.rt,trials_seeds.thisRepN,trials_seeds.thisTrialN,trials_seeds.thisN,trials_seeds.thisIndex,trials_seeds.ran,seed_options,correctSeednumber,tree_response.keys,tree_response.corr,tree_response.rt,trials_tree.thisRepN,trials_tree.thisTrialN,trials_tree.thisN,trials_tree.thisIndex,trials_tree.ran,tree_options,correctTreenumber,token_original_resp.keys,token_original_resp.corr,token_original_resp.rt,trials_tokens_original.thisRepN,trials_tokens_original.thisTrialN,trials_tokens_original.thisN,trials_tokens_original.thisIndex,trials_tokens_original.ran,original_token_options,correct_token_options,token_edited_resp.keys,token_edited_resp.corr,trials_tokens_edited.thisRepN,trials_tokens_edited.thisTrialN,trials_tokens_edited.thisN,trials_tokens_edited.thisIndex,trials_tokens_edited.ran,edited_token_options,gaze_response.keys,gaze_response.corr,gaze_response.rt,key_resp_6.keys,trials_gaze.thisRepN,trials_gaze.thisTrialN,trials_gaze.thisN,trials_gaze.thisIndex,trials_gaze.ran,options,correctGazeanswer,landscapeA_resp.keys,landscapeA_resp.corr,landscapeA_resp.rt,trials_sight_color.thisRepN,trials_sight_color.thisTrialN,trials_sight_color.thisN,trials_sight_color.thisIndex,trials_sight_color.ran,landscape_options,correct_landscape_options,landscapeB_resp.keys,landscapeB_resp.corr,trials_sight_black.thisRepN,trials_sight_black.thisTrialN,trials_sight_black.thisN,trials_sight_black.thisIndex,trials_sight_black.ran
a,3.6303,0,0,0,2,1,original_poet.png,c,DBF47,2024-03-27_15h45.45.309,board game,2021.1.2,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b,3.2119,0,1,1,3,1,original_architect.png,d,DBF47,2024-03-27_15h45.45.309,board game,2021.1.2,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a,6.869,0,2,2,1,1,original_hermit.png,b,DBF47,2024-03-27_15h45.45.309,board game,2021.1.2,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b,8.6072,0,3,3,0,1,original_monk.png,a,DBF47,2024-03-27_15h45.45.309,board game,2021.1.2,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,d,DBF47,2024-03-27_15h45.45.309,board game,2021.1.2,Win32,60.24096386,,0,0,0,0,3,1,edited_architect.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,a,DBF47,2024-03-27_15h45.45.309,board game,2021.1.2,Win32,60.24096386,,0,0,1,1,0,1,edited_monk.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,c,DBF47,2024-03-27_15h45.45.309,board game,2021.1.2,Win32,60.24096386,,0,0,2,2,2,1,edited_poet.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,b,DBF47,2024-03-27_15h45.45.309,board game,2021.1.2,Win32,60.24096386,,0,0,3,3,1,1,edited_hermit.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,DBF47,2024-03-27_15h45.45.309,board game,2021.1.2,Win32,60.24096386,,,,,,,,,1,1,3.9341,0,0,0,3,1,orange_1_original.png,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,DBF47,2024-03-27_15h45.45.309,board game,2021.1.2,Win32,60.24096386,,,,,,,,,1,1,2.2328,0,1,1,11,1,gul_1_original.png,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,DBF47,2024-03-27_15h45.45.309,board game,2021.1.2,Win32,60.24096386,,,,,,,,,2,1,1.103,0,2,2,4,1,orange_2_grey.png,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,DBF47,2024-03-27_15h45.45.309,board game,2021.1.2,Win32,60.24096386,,,,,,,,,2,1,1.4687,0,3,3,13,1,gul_2_original.png,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,DBF47,2024-03-27_15h45.45.309,board game,2021.1.2,Win32,60.24096386,,,,,,,,,2,1,2.2027,0,4,4,5,1,orange_2_original.png,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
