original_character_resp.keys,original_character_resp.rt,trials_character_original.thisRepN,trials_character_original.thisTrialN,trials_character_original.thisN,trials_character_original.thisIndex,trials_character_original.ran,original_character_options,correct_character_options,id,date,expName,psychopyVersion,OS,frameRate,edited_character_resp.keys,edited_character_resp.corr,trials_character_edited.thisRepN,trials_character_edited.thisTrialN,trials_character_edited.thisN,trials_character_edited.thisIndex,trials_character_edited.ran,edited_character_options,seed_response.keys,seed_response.corr,seed_response.rt,trials_seeds.thisRepN,trials_seeds.thisTrialN,trials_seeds.thisN,trials_seeds.thisIndex,trials_seeds.ran,seed_options,correctSeednumber,tree_response.keys,tree_response.corr,tree_response.rt,trials_tree.thisRepN,trials_tree.thisTrialN,trials_tree.thisN,trials_tree.thisIndex,trials_tree.ran,tree_options,correctTreenumber,token_original_resp.keys,token_original_resp.corr,token_original_resp.rt,trials_tokens_original.thisRepN,trials_tokens_original.thisTrialN,trials_tokens_original.thisN,trials_tokens_original.thisIndex,trials_tokens_original.ran,original_token_options,correct_token_options,token_edited_resp.keys,token_edited_resp.corr,trials_tokens_edited.thisRepN,trials_tokens_edited.thisTrialN,trials_tokens_edited.thisN,trials_tokens_edited.thisIndex,trials_tokens_edited.ran,edited_token_options,gaze_response.keys,gaze_response.corr,gaze_response.rt,key_resp_6.keys,trials_gaze.thisRepN,trials_gaze.thisTrialN,trials_gaze.thisN,trials_gaze.thisIndex,trials_gaze.ran,options,correctGazeanswer,landscapeA_resp.keys,landscapeA_resp.corr,landscapeA_resp.rt,trials_sight_color.thisRepN,trials_sight_color.thisTrialN,trials_sight_color.thisN,trials_sight_color.thisIndex,trials_sight_color.ran,landscape_options,correct_landscape_options,landscapeB_resp.keys,landscapeB_resp.corr,trials_sight_black.thisRepN,trials_sight_black.thisTrialN,trials_sight_black.thisN,trials_sight_black.thisIndex,trials_sight_black.ran
d,9.3052,0,0,0,3,1,original_architect.png,d,HØNS112,2024-03-18_13h21.52.480,board game,2021.1.2,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a,4.5904,0,1,1,0,1,original_monk.png,a,HØNS112,2024-03-18_13h21.52.480,board game,2021.1.2,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b,6.5233,0,2,2,1,1,original_hermit.png,b,HØNS112,2024-03-18_13h21.52.480,board game,2021.1.2,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b,12.9694,0,3,3,2,1,original_poet.png,c,HØNS112,2024-03-18_13h21.52.480,board game,2021.1.2,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,c,HØNS112,2024-03-18_13h21.52.480,board game,2021.1.2,Win32,59.88023952,,0,0,0,0,2,1,edited_poet.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,a,HØNS112,2024-03-18_13h21.52.480,board game,2021.1.2,Win32,59.88023952,,0,0,1,1,0,1,edited_monk.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,b,HØNS112,2024-03-18_13h21.52.480,board game,2021.1.2,Win32,59.88023952,,0,0,2,2,1,1,edited_hermit.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,d,HØNS112,2024-03-18_13h21.52.480,board game,2021.1.2,Win32,59.88023952,,0,0,3,3,3,1,edited_architect.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,HØNS112,2024-03-18_13h21.52.480,board game,2021.1.2,Win32,59.88023952,,,,,,,,,1,1,6.51,0,0,0,10,1,gul_1_grey.png,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,HØNS112,2024-03-18_13h21.52.480,board game,2021.1.2,Win32,59.88023952,,,,,,,,,1,1,2.779,0,1,1,3,1,orange_1_original.png,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
